"Name","Team","Position","Height(inches)","Weight(lbs)","Age","Birthday","LeftHanded"
"Adam Donachie","ATH","Catcher",74,180,22.99,"01/03/1987","No"
"Paul Bako","CEN","Catcher",74,215,34.69,"01/03/1987","Yes"
"Ramon Hernandez","BAL","Catcher",72,210,30.78,"01/08/1982","No"
"Kevin Millar","CEN","First Baseman",72,210,35.43,"04/05/1945","Yes"
"Chris Gomez","MLN","First Baseman",73,188,35.71,"04/08/1937","No"
"Brian Roberts","CEN","Second Baseman",69,176,29.39,"01/12/1987","Yes"
"Miguel Tejada","BAL","Shortstop",69,209,30.77,"01/03/1987","Yes"
"Melvin Mora","CEN","Third Baseman",71,200,35.07,"01/03/1987","Yes"
"Aubrey Huff","ATH","Third Baseman",76,231,30.19,"04/05/1965","No"
"Adam Stern","BAL","Outfielder",71,180,27.05,"01/03/1987","Yes"
"Jeff Fiorentino","ATH","Outfielder",73,188,23.88,"01/03/1987","Yes"
"Freddie Bynum","CEN","Outfielder",73,180,26.96,"04/05/1965","Yes"
"Nick Markakis","BAL","Outfielder",74,185,23.29,"01/02/1997","No"
"Brandon Fahey","BAL","Outfielder",74,160,26.11,"01/01/1987","Yes"
"Corey Patterson","MLN","Outfielder",69,180,27.55,"14/03/1967","Yes"
"Jay Payton","MLN","Outfielder",70,185,34.27,"04/05/1965","Yes"
